2024-12-04 13:47:26,447 - __main__ - INFO - CUDA Environment:
2024-12-04 13:47:26,448 - __main__ - INFO - {'cuda_available': True, 'cuda_version': '11.8', 'gpu_name': 'NVIDIA GeForce RTX 4060 Laptop GPU', 'pytorch_version': '2.0.1', 'python_version': '3.10.15 | packaged by conda-forge | (main, Oct 16 2024, 01:15:49) [MSC v.1941 64 bit (AMD64)]', 'gpu_count': 1, 'current_device': 0, 'memory_allocated': '0.00 GB', 'memory_cached': '0.00 GB'}
2024-12-04 13:47:26,448 - __main__ - INFO - Loading and preprocessing data...
2024-12-04 13:47:27,147 - __main__ - INFO - Starting training...
2024-12-04 13:47:27,178 - training.trainer - INFO - Starting training...
2024-12-04 13:47:37,528 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:37,751 - training.trainer - INFO - Detailed batch 0 info:
2024-12-04 13:47:37,751 - training.trainer - INFO - Input sequence length: 192
2024-12-04 13:47:37,751 - training.trainer - INFO - Output sequence length: 48
2024-12-04 13:47:37,751 - training.trainer - INFO - Target sequence length: 48
2024-12-04 13:47:37,812 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:37,919 - training.trainer - INFO - Detailed batch 1 info:
2024-12-04 13:47:37,919 - training.trainer - INFO - Input sequence length: 192
2024-12-04 13:47:37,919 - training.trainer - INFO - Output sequence length: 48
2024-12-04 13:47:37,919 - training.trainer - INFO - Target sequence length: 48
2024-12-04 13:47:37,985 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:38,054 - training.trainer - INFO - Detailed batch 2 info:
2024-12-04 13:47:38,054 - training.trainer - INFO - Input sequence length: 192
2024-12-04 13:47:38,054 - training.trainer - INFO - Output sequence length: 48
2024-12-04 13:47:38,054 - training.trainer - INFO - Target sequence length: 48
2024-12-04 13:47:38,079 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
2024-12-04 13:47:38,152 - training.trainer - WARNING - Dimension mismatch - outputs: torch.Size([32, 48, 1]), targets: torch.Size([32, 192, 1])
